,timestamp,user,hours,project
0,2019/09/27 08:00,ned,8.0,finance-and-marketing
1,2019/09/27 08:00,robert,8.0,finance-and-marketing
2,2019/09/26 08:00,ned,4.0,finance-and-marketing
3,2019/09/26 08:00,ned,1.0,culture-and-management
4,2019/09/26 08:00,ned,1.5,project-00
5,2019/09/26 08:00,ned,1.0,project-43
6,2018/12/21 08:00,jaime,2.0,project-00
7,2018/12/21 08:00,jaime,0.5,project-47
8,2018/12/21 08:00,jaime,3.5,project-47
9,2018/12/20 08:00,jaime,1.5,project-00
10,2018/12/20 08:00,jaime,1.5,project-30
11,2018/12/20 08:00,jaime,1.0,project-47
12,2018/12/20 08:00,jaime,3.0,project-47
13,2018/11/26 22:47,catelyn,0.6,internal-affairs
14,2018/11/26 22:47,catelyn,0.45,internal-affairs
15,2018/11/26 22:47,catelyn,0.4,culture-and-management
16,2018/11/26 22:47,catelyn,0.08,security
17,2018/11/26 22:47,catelyn,0.68,project-43
18,2018/11/26 22:47,catelyn,0.35,internal-affairs
19,2018/11/26 22:47,catelyn,1.53,project-43
20,2018/11/26 22:47,catelyn,0.72,internal-affairs
21,2018/11/26 22:47,catelyn,0.38,culture-and-management
22,2018/11/26 22:47,catelyn,0.62,culture-and-management
23,2018/11/26 21:17,cersei,3.0,external-affairs
24,2018/11/26 21:17,cersei,1.0,project-10
25,2018/11/26 21:17,cersei,4.0,internal-affairs
26,2018/11/26 20:55,daenerys,8.0,external-affairs
27,2018/11/26 20:55,daenerys,0.5,project-51
28,2018/11/26 20:49,jorah,2.0,project-51
29,2018/11/26 20:49,jorah,1.5,transit
30,2018/11/26 20:49,jorah,0.5,internal-affairs
31,2018/11/26 20:49,jorah,0.5,machine-learning
32,2018/11/26 20:49,jorah,1.5,project-43
33,2018/11/26 20:49,jorah,1.25,finance-and-marketing
34,2018/11/26 20:49,jorah,0.75,finance-and-marketing
35,2018/11/26 20:30,viserys,1.5,project-51
36,2018/11/26 20:30,viserys,2.0,project-51
37,2018/11/26 20:30,viserys,0.5,internal-affairs
38,2018/11/26 20:30,viserys,0.5,internal-affairs
39,2018/11/26 20:30,viserys,0.5,external-affairs
40,2018/11/26 20:30,viserys,2.0,project-64
41,2018/11/26 20:30,viserys,1.0,project-51
42,2018/11/26 20:11,jaime,0.58,machine-learning
43,2018/11/26 20:11,jaime,0.1,project-00
44,2018/11/26 20:11,jaime,0.5,project-00
45,2018/11/26 20:11,jaime,0.5,internal-affairs
46,2018/11/26 20:11,jaime,4.0,project-26
47,2018/11/26 20:11,jaime,0.63,internal-affairs
48,2018/11/26 20:11,jaime,0.57,internal-affairs
49,2018/11/26 20:11,jaime,1.8,machine-learning
50,2018/11/26 20:11,jaime,0.07,internal-affairs
51,2018/11/26 20:08,ned,1.0,project-66
52,2018/11/26 20:08,ned,1.5,culture-and-management
53,2018/11/26 20:08,ned,0.5,machine-learning
54,2018/11/26 20:08,ned,2.5,events
55,2018/11/26 20:08,ned,0.5,culture-and-management
56,2018/11/26 20:08,ned,1.5,transit
57,2018/11/26 19:49,jon,2.5,project-25
58,2018/11/26 19:49,jon,1.0,project-25
59,2018/11/26 19:49,jon,1.75,project-25
60,2018/11/26 19:49,jon,0.5,project-25
61,2018/11/26 19:49,jon,0.75,project-25
62,2018/11/26 19:49,jon,2.0,project-25
63,2018/11/26 19:48,sansa,1.0,project-32
64,2018/11/26 19:48,sansa,2.0,transit
65,2018/11/26 19:48,sansa,2.5,project-51
66,2018/11/26 19:48,sansa,1.0,project-31
67,2018/11/26 19:48,sansa,2.0,finance-and-marketing
68,2018/11/26 19:48,sansa,0.5,finance-and-marketing
69,2018/11/26 19:39,arya,6.0,project-32
70,2018/11/26 19:39,arya,1.0,machine-learning
71,2018/11/26 19:39,arya,0.5,project-32
72,2018/11/26 19:31,robb,0.5,finance-and-marketing
73,2018/11/26 19:31,robb,8.0,project-00
74,2018/11/26 17:00,theon,1.0,project-43
75,2018/11/26 17:00,theon,0.5,finance-and-marketing
76,2018/11/26 17:00,theon,1.0,internal-affairs
77,2018/11/26 17:00,theon,5.5,events
78,2018/11/26 08:00,bran,4.37,project-31
79,2018/11/26 08:00,bran,1.08,machine-learning
80,2018/11/26 08:00,bran,0.92,finance-and-marketing
81,2018/11/26 08:00,bran,1.0,machine-learning
82,2018/11/26 08:00,bran,0.5,project-31
83,2018/11/25 08:00,joffrey,5.0,project-32
84,2018/11/25 08:00,theon,5.0,events
85,2018/11/24 16:53,cersei,2.0,external-affairs
86,2018/11/24 08:00,hound,4.0,finance-and-marketing
87,2018/11/23 21:12,catelyn,0.93,project-32
88,2018/11/23 21:12,catelyn,0.95,internal-affairs
89,2018/11/23 21:12,catelyn,0.18,project-32
90,2018/11/23 21:12,catelyn,2.37,project-40
91,2018/11/23 21:12,catelyn,1.1,engineering
92,2018/11/23 21:12,catelyn,1.18,project-09
93,2018/11/23 21:10,arya,2.5,project-32
94,2018/11/23 21:10,arya,3.0,project-32
95,2018/11/23 21:10,arya,1.5,project-26
96,2018/11/23 21:10,arya,1.0,project-32
97,2018/11/23 18:27,viserys,0.64,project-64
98,2018/11/23 18:27,viserys,0.27,internal-affairs
99,2018/11/23 18:27,viserys,3.98,project-51
100,2018/11/23 18:27,viserys,1.89,external-affairs
101,2018/11/23 18:27,viserys,0.88,project-65
102,2018/11/23 18:22,ned,1.0,project-66
103,2018/11/23 18:22,ned,1.0,project-28
104,2018/11/23 18:22,ned,1.5,culture-and-management
